Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
685c6b286e3dfe5fe2548c8f,63dcbb18395960c5560fadb8,APPROVED,Not Applicable,2025-06-25T21:33:31.970000Z,2025-06-25T21:36:44.382000Z,2025-06-25T21:36:46.700000Z,2025-06-25T21:36:45.660577Z,193.0,CD19V2FV,3751,English,36,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
685c6b29734d9f12c9cfe04b,5be8dab5d153f500019ab320,APPROVED,Not Applicable,2025-06-25T21:33:29.482000Z,2025-06-25T21:37:21.704000Z,2025-06-25T21:37:23.511000Z,2025-06-25T21:37:22.278431Z,233.0,CD19V2FV,9489,English,51,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
685c6b2a8ae56a3b7cc674ee,685a00c2226d8ace12b4883b,APPROVED,Not Applicable,2025-06-25T21:33:35.619000Z,2025-06-25T21:38:03.452000Z,2025-06-25T21:38:04.228000Z,2025-06-25T21:38:04.106582Z,268.0,CD19V2FV,43,English,20,Female,Black,United States,United States,United States,English,No,Full-Time
685c6b337d775f797dcb8e2b,58509fbda6946500016117ed,APPROVED,Not Applicable,2025-06-25T21:33:44.030000Z,2025-06-25T21:35:53.657000Z,2025-07-01T17:14:46.385000Z,2025-06-25T21:35:54.141541Z,130.0,CD19V2FV,7769,"English, Spanish",40,Male,White,United States,United States,United States,English,No,Full-Time
685c6b34addba569d316f381,6078b4ad9006e4f6572dde97,APPROVED,Not Applicable,2025-06-25T21:33:45.654000Z,2025-06-25T21:36:19.806000Z,2025-06-25T21:36:20.441000Z,2025-06-25T21:36:20.349224Z,155.0,CD19V2FV,2746,English,27,Male,Black,United States,United States,United States,English,No,Full-Time
685c6b387099fbd4ed3ff034,666559e634fffd1ce19ba654,APPROVED,Not Applicable,2025-06-25T21:33:49.547000Z,2025-06-25T21:35:43.972000Z,2025-07-01T17:14:46.661000Z,2025-06-25T21:35:44.541642Z,115.0,CD19V2FV,1884,English,30,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
685c6b3aeb226a734994e43d,67d6f60c73ddec2e3ccfe0b8,APPROVED,Not Applicable,2025-06-25T21:34:08.144000Z,2025-06-25T21:38:00.817000Z,2025-06-25T21:38:11.549000Z,2025-06-25T21:38:01.389036Z,233.0,CD19V2FV,1347,English,24,Male,Black,United States,United States,United States,English,No,Part-Time
685c6b41c17621f96e8c9967,684a4cd240bb53a21a20dafc,APPROVED,Not Applicable,2025-06-25T21:35:19.516000Z,2025-06-25T21:38:55.775000Z,2025-06-25T21:38:57.221000Z,2025-06-25T21:38:56.426447Z,217.0,CD19V2FV,100,English,37,Female,Black,United States,United States,United States,English,No,Part-Time
685c6b45b1fda1d513c48031,608bfa04767191aa4d57bfd8,APPROVED,Not Applicable,2025-06-25T21:34:01.499000Z,2025-06-25T21:35:53.713000Z,2025-07-01T17:14:46.919000Z,2025-06-25T21:35:54.269713Z,113.0,CD19V2FV,10568,English,42,Female,White,United States,United States,United States,English,No,Full-Time
685c6b4805ebcae5f844ad42,67d72e56bfef3906846145ae,APPROVED,Not Applicable,2025-06-25T21:34:00.771000Z,2025-06-25T21:37:44.443000Z,2025-06-25T21:37:46.513000Z,2025-06-25T21:37:45.039913Z,224.0,CD19V2FV,1588,English,27,Female,White,United States,United States,United States,English,No,Part-Time
685c6b4fb3802fd761c67105,6841a8c88bc9597630edbc25,APPROVED,Not Applicable,2025-06-25T21:35:23.505000Z,2025-06-25T21:39:34.192000Z,2025-06-25T21:39:45.020000Z,2025-06-25T21:39:34.824473Z,251.0,CD19V2FV,243,English,58,Female,White,United States,United States,United States,English,No,Part-Time
685c6b55735edc0ca0cd7504,663e415a80a1241697515eb7,APPROVED,Not Applicable,2025-06-25T21:34:19.012000Z,2025-06-25T21:36:56.031000Z,2025-06-25T21:36:56.655000Z,2025-06-25T21:36:56.551547Z,158.0,CD19V2FV,536,English,27,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
685c6b56053102276c05a55c,5fefefa4c9707d3516361c9c,APPROVED,Not Applicable,2025-06-25T21:34:18.862000Z,2025-06-25T21:37:22.674000Z,2025-06-25T21:37:28.289000Z,2025-06-25T21:37:23.167812Z,184.0,CD19V2FV,11531,English,59,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
